Priority Score,Category,Post ID,Post Title,Dev URL,Pageviews (90d),Clicks (90d),Impressions,CTR %,Avg Position,Days Since Update,Focus Keyword,Readability,Issues,Recommended Actions
85,CRITICAL,19406,How to set hostname on Raspberry Pi,https://dev.linuxconfig.org/how-to-set-hostname-on-raspberry-pi,0,334,17141,1.95,5.9,64,change Raspberry Pi hostname,90,Position 5.9 - near page 1 top; 17141 impressions but 1.9% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,2097,How to install PyCharm on Ubuntu 20.04 Linux Desktop,https://dev.linuxconfig.org/how-to-install-pycharm-on-ubuntu-20-04-linux-desktop,576,418,27606,1.51,9.7,63,install PyCharm Ubuntu,60,Position 9.7 - near page 1 top; 27606 impressions but 1.5% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,17294,How to manage power profiles over D-Bus with power-profiles-daemon on Linux,https://dev.linuxconfig.org/how-to-manage-power-profiles-over-d-bus-with-power-profiles-daemon-on-linux,588,326,54359,0.60,6.3,64,manage power profiles Linux,60,Position 6.3 - near page 1 top; 54359 impressions but 0.6% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,19888,How to install Brave on Linux,https://dev.linuxconfig.org/how-to-install-brave-on-linux,1364,402,73690,0.55,8.7,64,install Brave browser Linux,90,Position 8.7 - near page 1 top; 73690 impressions but 0.5% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,23621,How to install Arch Linux alongside Windows 11 (Dual Boot),https://dev.linuxconfig.org/how-to-install-arch-linux-alongside-windows-11-dual-boot,1533,901,59082,1.52,6.4,63,install Arch Linux dual boot Windows 11,0,Position 6.4 - near page 1 top; 59082 impressions but 1.5% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,1964,Ubuntu 20.04 download - All Official Flavors,https://dev.linuxconfig.org/ubuntu-20-04-download,3423,2136,125606,1.70,9.2,63,download Ubuntu 20.04 LTS ISO,90,Position 9.2 - near page 1 top; 125606 impressions but 1.7% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,16459,How to get and change video metadata in Linux,https://dev.linuxconfig.org/how-to-get-and-change-video-metadata-in-linux,0,251,29012,0.87,6.7,63,get video metadata Linux,60,Position 6.7 - near page 1 top; 29012 impressions but 0.9% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,12842,How to install Steam on Ubuntu 22.04 Jammy Jellyfish Linux,https://dev.linuxconfig.org/how-to-install-steam-on-ubuntu-22-04-jammy-jellyfish-linux,0,309,22005,1.40,9.8,63,install Steam Ubuntu,60,Position 9.8 - near page 1 top; 22005 impressions but 1.4% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,2126,Debian Download Guide,https://dev.linuxconfig.org/debian-linux-download,2454,452,77265,0.58,9.8,3,download Debian,90,Position 9.8 - near page 1 top; 77265 impressions but 0.6% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,1759,Check Linux Mint Version,https://dev.linuxconfig.org/check-linux-mint-version,1181,507,38074,1.33,6.4,63,check Linux Mint version,0,Position 6.4 - near page 1 top; 38074 impressions but 1.3% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,17725,Resolving the 'No Space Left on Device' Error on Linux,https://dev.linuxconfig.org/resolving-the-no-space-left-on-device-error-on-linux,1115,655,45828,1.43,7.2,63,fix No Space Left on Device Linux,60,Position 7.2 - near page 1 top; 45828 impressions but 1.4% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,12829,How to install Gnome on Ubuntu 22.04 LTS Jammy Jellyfish,https://dev.linuxconfig.org/how-to-install-gnome-on-ubuntu-22-04-lts-jammy-jellyfish,624,281,28725,0.98,7.3,63,install GNOME Ubuntu,90,Position 7.3 - near page 1 top; 28725 impressions but 1.0% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,2300,Introduction to the lsblk command,https://dev.linuxconfig.org/introduction-to-the-lsblk-command,0,315,44220,0.71,6.6,64,use lsblk Linux,0,Position 6.6 - near page 1 top; 44220 impressions but 0.7% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,25295,Check If Docker Is Running – Linux Commands,https://dev.linuxconfig.org/check-if-docker-is-running-linux-commands,1532,1264,66950,1.89,6.8,127,check Docker running Linux,0,Position 6.8 - near page 1 top; 66950 impressions but 1.9% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,23237,How to install Kali alongside Windows 11 (Dual Boot),https://dev.linuxconfig.org/how-to-install-kali-alongside-windows-11-dual-boot,916,403,27384,1.47,6.8,63,dual boot Kali Linux and Windows 11,90,Position 6.8 - near page 1 top; 27384 impressions but 1.5% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,24788,"Ultimate Web Server Benchmark: Apache, NGINX, LiteSpeed, OpenLiteSpeed, Caddy &amp; Lighttpd Compared",https://dev.linuxconfig.org/ultimate-web-server-benchmark-apache-nginx-litespeed-openlitespeed-caddy-lighttpd-compared,872,472,31669,1.49,9.1,64,web server performance comparison,0,Position 9.1 - near page 1 top; 31669 impressions but 1.5% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,12811,How to install Tweak Tool on Ubuntu 22.04 LTS Jammy Jellyfish Linux,https://dev.linuxconfig.org/how-to-install-tweak-tool-on-ubuntu-22-04-lts-jammy-jellyfish-linux,692,326,19872,1.64,9.0,64,install GNOME Tweaks Ubuntu,60,Position 9.0 - near page 1 top; 19872 impressions but 1.6% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,1839,How to restart network on Ubuntu 20.04 LTS Focal Fossa,https://dev.linuxconfig.org/how-to-restart-network-on-ubuntu-20-04-lts-focal-fossa,0,406,38779,1.05,6.2,64,restart network Ubuntu,0,Position 6.2 - near page 1 top; 38779 impressions but 1.0% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,2379,How to check Kali Linux version,https://dev.linuxconfig.org/how-to-check-kali-linux-version,816,501,29284,1.71,6.7,63,check Kali Linux version,0,Position 6.7 - near page 1 top; 29284 impressions but 1.7% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,1960,Ubuntu 20.04 GUI installation,https://dev.linuxconfig.org/ubuntu-20-04-gui-installation,637,344,33182,1.04,8.9,63,install GUI Ubuntu,60,Position 8.9 - near page 1 top; 33182 impressions but 1.0% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,20848,How to set battery charge thresholds on Linux,https://dev.linuxconfig.org/how-to-set-battery-charge-thresholds-on-linux,786,423,31083,1.36,6.4,64,set battery charge thresholds Linux,90,Position 6.4 - near page 1 top; 31083 impressions but 1.4% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,23055,How to perform unattended Debian installations with preseed,https://dev.linuxconfig.org/how-to-perform-unattedended-debian-installations-with-preseed,679,262,36236,0.72,7.8,64,Debian preseed file,60,Position 7.8 - near page 1 top; 36236 impressions but 0.7% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,16980,How to change directory in terminal on Ubuntu,https://dev.linuxconfig.org/how-to-change-directory-in-terminal-on-ubuntu,918,578,32016,1.81,9.6,63,change directory Ubuntu terminal,60,Position 9.6 - near page 1 top; 32016 impressions but 1.8% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,16525,Check DEB package dependencies on Ubuntu / Debian,https://dev.linuxconfig.org/check-deb-package-dependencies-on-ubuntu-debian,0,256,20647,1.24,7.7,63,check DEB package dependencies,90,Position 7.7 - near page 1 top; 20647 impressions but 1.2% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,1821,How to switch between multiple GCC and G++ compiler versions on Ubuntu 20.04 LTS Focal Fossa,https://dev.linuxconfig.org/how-to-switch-between-multiple-gcc-and-g-compiler-versions-on-ubuntu-20-04-lts-focal-fossa,884,310,24028,1.29,8.6,64,install GCC and G++ compilers Ubuntu,0,Position 8.6 - near page 1 top; 24028 impressions but 1.3% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,24328,Ubuntu Server GUI: Install any Desktop on your Server,https://dev.linuxconfig.org/how-to-install-a-desktop-gui-on-ubuntu-server,2369,751,43404,1.73,7.6,18,ubuntu server gui,60,Position 7.6 - near page 1 top; 43404 impressions but 1.7% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,25342,Shell Upgrade: Supercharge Your Terminal with Zsh &amp; Oh My Zsh,https://dev.linuxconfig.org/shell-upgrade-supercharge-your-terminal-with-zsh-oh-my-zsh,888,504,85187,0.59,8.8,127,install Zsh and Oh My Zsh,0,Position 8.8 - near page 1 top; 85187 impressions but 0.6% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,20165,How to install KeePassXC on Linux,https://dev.linuxconfig.org/how-to-install-keepassxc-on-linux,692,415,24730,1.68,8.4,64,install KeePassXC Linux,90,Position 8.4 - near page 1 top; 24730 impressions but 1.7% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,1423,Improve Your Wine Gaming on Linux With DXVK,https://dev.linuxconfig.org/improve-your-wine-gaming-on-linux-with-dxvk,677,244,26331,0.93,7.3,63,add DXVK to Wine prefix,90,Position 7.3 - near page 1 top; 26331 impressions but 0.9% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,1654,How To Add The BlackArch Pentesting Repository To Arch Linux,https://dev.linuxconfig.org/how-to-add-the-blackarch-pentesting-repository-to-arch-linux,545,255,24241,1.05,9.0,63,install BlackArch on Arch Linux,60,Position 9.0 - near page 1 top; 24241 impressions but 1.1% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,18921,List of window managers on Linux,https://dev.linuxconfig.org/list-of-window-managers-on-linux,771,597,45976,1.30,8.1,63,best window managers for Linux,60,Position 8.1 - near page 1 top; 45976 impressions but 1.3% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,27588,Lock Account After Failed Logins on Debian/Ubuntu,https://dev.linuxconfig.org/lock-account-after-failed-logins-on-debian-ubuntu,752,325,20943,1.55,6.7,110,account lockout ubuntu,90,Position 6.7 - near page 1 top; 20943 impressions but 1.6% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,13440,Firewall – ufw status inactive on Ubuntu 22.04 Jammy Jellyfish Linux,https://dev.linuxconfig.org/firewall-ufw-status-inactive-on-ubuntu-22-04-jammy-jellyfish-linux,0,346,23847,1.45,6.9,64,activate UFW Ubuntu,60,Position 6.9 - near page 1 top; 23847 impressions but 1.5% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,287,Check and set user limits with ulimit Linux command,https://dev.linuxconfig.org/limit-user-environment-with-ulimit-linux-command,789,243,21513,1.13,7.7,63,ulimit command Linux,90,Position 7.7 - near page 1 top; 21513 impressions but 1.1% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,19649,How to check CPU temperature on Raspberry Pi,https://dev.linuxconfig.org/how-to-check-cpu-temperature-on-raspberry-pi,1420,546,35209,1.55,8.4,63,check Raspberry Pi CPU temperature,90,Position 8.4 - near page 1 top; 35209 impressions but 1.6% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,1828,How to install Gnome on Ubuntu 20.04 LTS Focal Fossa,https://dev.linuxconfig.org/how-to-install-gnome-on-ubuntu-20-04-lts-focal-fossa,0,317,29309,1.08,8.6,63,install GNOME Ubuntu 20.04,90,Position 8.6 - near page 1 top; 29309 impressions but 1.1% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,21382,How to create a portable retrogaming USB stick with Batocera Linux,https://dev.linuxconfig.org/how-to-create-a-portable-retrogaming-usb-stick-with-batocera-linux,1224,293,27323,1.07,8.4,63,flash Batocera Linux USB,90,Position 8.4 - near page 1 top; 27323 impressions but 1.1% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,1835,Ubuntu 20.04 open HTTP port 80 and HTTPS port 443 with ufw,https://dev.linuxconfig.org/ubuntu-20-04-open-http-port-80-and-https-port-443-with-ufw,951,490,31918,1.54,7.7,64,open HTTP port 80 Ubuntu,0,Position 7.7 - near page 1 top; 31918 impressions but 1.5% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,24620,How to Install Google Chrome Browser on Linux Mint,https://dev.linuxconfig.org/how-to-install-google-chrome-browser-on-linux-mint,2401,1272,69986,1.82,7.7,127,install Google Chrome Linux Mint,0,Position 7.7 - near page 1 top; 69986 impressions but 1.8% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
85,CRITICAL,22945,Linux: What Process is Listening on a Port,https://dev.linuxconfig.org/linux-what-process-is-listening-on-a-port,948,429,68502,0.63,9.0,63,find processes listening on ports Linux,90,Position 9.0 - near page 1 top; 68502 impressions but 0.6% CTR,"Quick push to top 3 positions - optimize title and add internal links | Improve title and meta description - high visibility, low clicks"
