Rank,Page Path,Post Title,Full URL,Score,Pageviews (90d),Sessions,GSC Clicks,GSC Impressions,Avg Position,CTR,Avg Duration (sec),Last Modified,Days Since Update,Focus Keyword,Keyword Score,Readability,Is Cornerstone,Alerts
20,/how-to-check-nvidia-driver-version-on-your-linux-system,How to Check NVIDIA Driver Version on Linux,https://linuxconfig.org/how-to-check-nvidia-driver-version-on-your-linux-system/,6474.85,5545,5599,4551,172916,5.7,0.0263,124.2,2025-09-22 07:30:22,63,check NVIDIA driver version Linux,80,30,No,Low readability score: 30
21,/ubuntu-24-04-how-to-install-appimage,Ubuntu 24.04: How to install appimage,https://linuxconfig.org/ubuntu-24-04-how-to-install-appimage/,6427.60,6108,6338,4057,146596,6.6,0.0277,143.5,2024-02-20 03:16:48,643,run AppImage on Ubuntu,0,90,No,Not updated in 643 days
22,/enable-ssh-root-login-on-debian-linux-server,Debian Enable SSH Root Login on Linux Server,https://linuxconfig.org/enable-ssh-root-login-on-debian-linux-server/,5493.80,5015,5834,4324,100254,7.9,0.0431,173.9,2025-11-03 10:09:49,21,debian enable ssh,89,90,No,
23,/ubuntu-20-04-remote-desktop-access-from-windows-10,Ubuntu Remote Desktop Access from Windows 10/11,https://linuxconfig.org/ubuntu-20-04-remote-desktop-access-from-windows-10/,5465.81,5302,5721,2131,156151,11.2,0.0136,211.6,2024-08-06 15:36:15,475,remote desktop Ubuntu Windows,80,60,No,Not updated in 475 days
24,/how-to-reset-kali-linux-root-password,How to reset Kali Linux root password,https://linuxconfig.org/how-to-reset-kali-linux-root-password/,5454.93,6111,6201,3123,79858,6.5,0.0391,206.2,2025-09-22 11:13:33,63,reset Kali Linux password,80,60,No,
25,/bash-scripting-tutorial,Bash Scripting Tutorial: How to Write a Bash Script,https://linuxconfig.org/bash-scripting-tutorial/,5408.31,5994,7392,1962,94371,17.3,0.0208,188.7,2025-09-22 12:03:53,63,Bash scripting tutorial,72,30,No,Low readability score: 30
26,/ubuntu-20-04-connect-to-wifi-from-command-line,Ubuntu Server: Connect to Wi-Fi from command line,https://linuxconfig.org/ubuntu-20-04-connect-to-wifi-from-command-line/,5361.11,5433,5716,3627,92929,7.3,0.0390,224.8,2024-08-06 15:38:20,475,connect to Wi-Fi Ubuntu command line,63,90,No,Not updated in 475 days
27,/how-to-install-configure-and-customize-waybar-on-linux,"How to install, configure and customize Waybar on Linux",https://linuxconfig.org/how-to-install-configure-and-customize-waybar-on-linux/,5231.93,3789,3599,2080,234652,7.4,0.0089,191.9,2025-09-22 06:39:31,63,install Waybar Linux,82,60,No,
28,/fixing-the-permission-denied-error-on-linux,Fixing the 'Permission Denied' Error on Linux,https://linuxconfig.org/fixing-the-permission-denied-error-on-linux/,5178.02,4162,4495,1962,199084,6.5,0.0099,129.6,2025-09-22 09:40:46,63,fix permission denied error Linux,0,60,No,
29,/debian-13-nvidia-driver-installation,Debian 13 Nvidia Driver Installation,https://linuxconfig.org/debian-13-nvidia-driver-installation/,5085.26,6063,5139,2871,75950,8.9,0.0378,305.4,2025-09-27 19:06:54,58,debian nvidia driver,87,60,No,
30,/how-to-install-uninstall-and-update-firefox-on-ubuntu-20-04-focal-fossa-linux,"How to install, uninstall and update Firefox on Ubuntu",https://linuxconfig.org/how-to-install-uninstall-and-update-firefox-on-ubuntu-20-04-focal-fossa-linux/,4905.65,3867,3929,2940,166147,7.0,0.0177,283.5,2025-09-21 20:07:01,64,install Firefox Ubuntu,84,30,No,Low readability score: 30
